guide	gene	9_DMSO_D22	9_DMSO_D25	28_DMSO_D22	28_DMSO_D25	c2_DMSO_D22	c2_DMSO_D25	c4_DMSO_D22	c4_DMSO_D25	108_DMSO_D22	108_DMSO_D25	113_DMSO_D22	113_DMSO_D25	9_D3	9_D15	9_NT_D19	28_D3	28_D15	28_NT_D19	c2_D3	c2_D15	c2_NT_D19	c4_D3	c4_D15	c4_NT_D19	108_D3	108_D15	108_NT_D19	113_D3	113_D15	113_NT_D19
TEDH-1000488	ABL1	14248	16730	18893	15115	10958	14678	7619	10295	20335	14576	9461	11621	10597	11844	13835	11790	16677	15842	10244	13062	10675	13181	15497	13399	10191	12815	20149	11234	17835	11361
TEDH-1000491	ABL1	5100	6908	4114	4425	2228	2486	2902	3874	4079	3690	3571	3305	4554	4178	4838	5353	6089	4671	4862	4413	2139	5585	5631	4862	4145	3123	5086	4798	4002	4164
TEDH-1000490	ABL1	2628	2594	2846	2380	1701	2573	1326	1142	1954	1024	1465	2475	1814	2577	2201	2245	2359	2820	1762	2338	1729	2343	1720	1559	1612	1267	1418	1761	3274	1830
TEDH-1000492	ABL1	20607	28061	25583	24536	19985	25901	14287	17097	27247	17156	12701	12052	15476	19699	20670	17327	26587	23943	13929	23959	15946	18838	24987	26048	14936	15903	26499	16375	29840	17997
TEDH-1000489	ABL1	5223	5725	4342	4462	3667	4557	2698	3025	4815	3557	2849	3378	3657	3702	4231	4595	5063	6707	4101	4171	3731	4495	5567	5222	3596	3963	4242	4199	3995	3748
TEDH-1000679	ACD	1963	1738	3067	2374	2323	3218	1812	2181	2295	1643	3228	4450	3342	3309	1995	4051	4035	3457	3324	3878	2356	4389	3766	3607	3244	3009	2397	3739	6720	3504
TEDH-1000681	ACD	1767	1154	2198	1513	1260	1437	837	1099	1376	1285	1196	775	3346	1215	1490	3662	3036	2297	2857	2321	1617	4264	2712	1955	3321	1805	1593	3578	3251	1486
TEDH-1000680	ACD	2079	2061	1472	859	1246	1385	1590	1613	2959	1861	2255	2241	4694	2180	2397	5229	2016	1682	4799	2409	1164	5548	4033	2202	4346	2737	3486	4751	6183	3703
TEDH-1001012	ACTL6A	715	1260	291	295	634	413	1065	1088	538	505	418	260	1347	755	493	1661	1076	599	1054	973	351	1543	2021	1078	1268	957	722	1328	1251	932
TEDH-1001014	ACTL6A	9715	12793	12021	8131	7862	8219	7351	7381	15524	9322	11438	11485	18815	14855	11760	21064	18632	14085	16109	12512	8137	22727	15864	13874	17768	13445	16637	19647	22125	17088
