guide	gene	plasmid	PolM_KO	PolM_KO_hPOLM	PolM_WT	PolQ_WT	PolQ_KO_hPOLQ	PolQ_KO
mDDR_1	Aicda	534	77	2	148	124	113	108
mDDR_2	Aicda	1154	888	18	1324	688	439	351
mDDR_3	Aicda	576	215	7	463	401	201	318
mDDR_4	Aicda	1200	549	14	1038	1011	426	834
mDDR_5	Aicda	2017	1142	33	2204	1392	557	762
mDDR_6	Aicda	1271	1067	27	1090	1037	404	766
mDDR_7	Aicda	2146	1090	38	1617	1874	621	1107
mDDR_8	Aicda	1879	715	23	1946	1693	519	789
mDDR_9	Aicda	1774	1469	42	2551	1212	536	1543
mDDR_10	Aicda	797	211	5	546	563	181	465
mDDR_11	Alkbh2	1225	219	5	860	566	160	480
mDDR_12	Alkbh2	1508	741	21	1487	987	359	1157
mDDR_13	Alkbh2	2443	1180	39	2648	2040	814	1465
mDDR_14	Alkbh2	1040	267	20	462	462	101	339
mDDR_15	Alkbh2	1531	1005	19	1147	1146	402	1009
mDDR_16	Alkbh2	1196	591	21	887	1166	355	817
mDDR_17	Alkbh2	2772	1399	31	1940	1884	648	1362
mDDR_18	Alkbh2	1270	919	18	1458	1102	232	529
mDDR_19	Alkbh2	3259	1491	36	2083	2073	784	1224
mDDR_20	Alkbh2	2932	1341	71	3371	2141	855	1223
mDDR_21	Alkbh3	2436	1716	34	2340	1657	892	1088
mDDR_22	Alkbh3	1600	946	32	1524	897	351	526
mDDR_23	Alkbh3	1702	950	22	675	1133	345	579
mDDR_24	Alkbh3	1787	1226	31	1660	1244	382	1362
mDDR_25	Alkbh3	1946	1283	47	2334	2399	551	985
mDDR_26	Alkbh3	1559	217	5	540	803	244	333
mDDR_27	Alkbh3	1904	1362	21	1619	1590	487	505
mDDR_28	Alkbh3	2189	529	9	1344	1462	438	1099
mDDR_29	Alkbh3	2362	1535	40	2243	1805	805	1223
mDDR_30	Alkbh3	1767	735	25	1561	1155	446	855
mDDR_31	Apex1	831	291	21	634	775	236	523
mDDR_32	Apex1	1216	528	29	1430	1138	333	1124
mDDR_33	Apex1	2834	1492	54	3504	2698	932	1896
mDDR_34	Apex1	1642	717	30	1709	1674	539	1336
mDDR_35	Apex1	1579	1203	22	2443	1332	620	1149
mDDR_36	Apex1	2011	611	23	1041	1296	351	909
mDDR_37	Apex1	3321	1946	60	2761	2908	935	1973
mDDR_38	Apex1	1420	838	20	1083	1125	433	941
mDDR_39	Apex1	529	191	5	299	257	137	275
mDDR_40	Apex1	3629	1902	77	4097	2522	843	1916
mDDR_41	Apex2	1131	441	20	1008	778	177	632
mDDR_42	Apex2	1803	1450	36	1738	1232	434	1094
mDDR_43	Apex2	1326	488	8	1007	1195	334	598
mDDR_44	Apex2	3449	1397	53	2648	2367	1078	1910
mDDR_45	Apex2	2568	914	48	2482	2004	632	1329
mDDR_46	Apex2	2677	612	35	1389	1251	496	1217
mDDR_47	Apex2	2278	1413	38	1859	1499	574	1269
mDDR_48	Apex2	1545	514	22	1052	1211	231	869
mDDR_49	Apex2	1110	347	8	877	625	334	733
mDDR_50	Apex2	1127	479	23	1321	861	327	491
mDDR_51	Apobec1	1221	529	16	1282	1228	281	464
mDDR_52	Apobec1	1793	348	20	593	407	246	321
mDDR_53	Apobec1	2059	1437	32	2145	1879	719	1108
mDDR_54	Apobec1	3687	1930	53	3100	2243	846	1997
mDDR_55	Apobec1	1895	1116	40	1172	1403	570	814
mDDR_56	Apobec1	747	508	15	566	401	172	409
mDDR_57	Apobec1	1826	1615	29	1573	1151	541	640
mDDR_58	Apobec1	1828	353	5	597	592	124	461
mDDR_59	Apobec1	1432	612	18	1391	826	356	782
mDDR_60	Apobec1	1084	423	33	956	996	222	541
mDDR_61	Apobec2	1749	984	37	1884	1527	545	1172
mDDR_62	Apobec2	1329	705	21	1880	981	387	520
mDDR_63	Apobec2	891	420	15	941	983	157	356
mDDR_64	Apobec2	2062	1011	49	1904	1513	611	1052
mDDR_65	Apobec2	1638	394	32	831	779	307	399
mDDR_66	Apobec2	2110	1357	47	2226	2074	849	1062
mDDR_67	Apobec2	1674	1770	20	1344	1153	440	717
mDDR_68	Apobec2	2151	2083	42	2648	1784	948	1559
mDDR_69	Apobec2	4499	2908	62	4301	4106	1320	2197
mDDR_70	Apobec2	2596	1214	36	2848	2436	717	1849
mDDR_71	Apobec3	1837	427	18	1280	844	350	714
mDDR_72	Apobec3	1473	988	18	1851	1363	410	934
mDDR_73	Apobec3	1021	820	15	1101	614	219	719
mDDR_74	Apobec3	801	507	11	1347	756	175	569
mDDR_75	Apobec3	2115	1322	24	1496	1271	405	857
mDDR_76	Apobec3	2130	1065	22	1494	1634	569	695
mDDR_77	Apobec3	301	166	13	204	141	36	93
mDDR_78	Apobec3	311	209	6	234	359	94	382
mDDR_79	Apobec3	1631	706	54	1323	1342	451	1254
mDDR_80	Apobec3	2657	1162	48	3021	2841	1127	1756
mDDR_81	Apobec4	2311	1007	67	1718	1947	650	1147
mDDR_82	Apobec4	2544	1195	21	1937	1505	581	1316
mDDR_83	Apobec4	5255	2593	59	2902	2607	913	1453
mDDR_84	Apobec4	1962	1116	22	1965	1477	568	1082
mDDR_85	Apobec4	3081	1593	39	3124	2472	823	1460
mDDR_86	Apobec4	3278	1717	56	3634	2368	988	2078
mDDR_87	Apobec4	1489	611	18	1602	1114	320	452
mDDR_88	Apobec4	2907	1350	22	1756	1139	586	940
mDDR_89	Apobec4	1828	752	34	1657	1573	581	953
mDDR_90	Apobec4	2029	846	16	1938	976	432	531
mDDR_91	Aptx	3565	1908	48	2885	2190	970	1975
mDDR_92	Aptx	651	191	9	556	745	168	431
mDDR_93	Aptx	1241	396	8	652	813	133	211
mDDR_94	Aptx	2374	1357	42	1725	1938	727	1858
mDDR_95	Aptx	1852	1310	30	2337	1664	621	1884
mDDR_96	Aptx	2868	1428	42	1895	1609	690	1561
mDDR_97	Aptx	3881	2336	64	2631	2842	1369	2382
mDDR_98	Aptx	3166	1472	42	1663	2131	768	1038
mDDR_99	Aptx	2913	1129	59	2844	1874	786	929
mDDR_100	Aptx	1469	524	26	1547	1280	433	534
mDDR_101	Arid3a	1336	906	34	1683	1568	620	1092
mDDR_102	Arid3a	935	342	12	803	341	193	674
mDDR_103	Arid3a	1266	835	13	1282	951	328	610
mDDR_104	Arid3a	998	420	9	1247	940	261	473
mDDR_105	Arid3a	4411	2325	79	3876	2811	1062	2920
mDDR_106	Arid3a	380	162	3	485	137	139	168
mDDR_107	Arid3a	1767	1176	50	1611	1777	624	838
mDDR_108	Arid3a	2498	1447	63	1963	1976	779	1759
mDDR_109	Arid3a	2417	1112	44	2152	1851	911	895
mDDR_110	Arid3a	458	212	6	371	804	172	355
mDDR_111	Arid4a	2691	1096	29	1654	1381	710	1128
mDDR_112	Arid4a	1933	889	25	1287	870	285	664
mDDR_113	Arid4a	2164	450	18	1202	1035	432	724
mDDR_114	Arid4a	1298	450	31	586	675	375	741
mDDR_115	Arid4a	2804	1749	57	2012	1622	573	1094
mDDR_116	Arid4a	2057	1443	22	1941	831	366	581
mDDR_117	Arid4a	1130	585	28	1595	936	367	881
mDDR_118	Arid4a	2230	1025	38	1909	1685	548	1043
mDDR_119	Arid4a	1516	856	25	1438	1137	447	762
mDDR_120	Arid4a	3010	1309	23	1640	1653	427	1024
mDDR_121	Arid4b	2780	959	36	1645	1829	606	981
mDDR_122	Arid4b	3180	2009	46	3337	1852	1025	1089
mDDR_123	Arid4b	696	362	11	752	705	112	539
mDDR_124	Arid4b	2653	696	31	1092	958	532	763
mDDR_125	Arid4b	2292	1377	41	801	1199	806	723
mDDR_126	Arid4b	1977	1087	33	1946	1290	553	1362
mDDR_127	Arid4b	1709	1028	22	1834	1693	715	1132
mDDR_128	Arid4b	2091	1383	35	1685	1194	581	839
mDDR_129	Arid4b	1523	1060	19	1635	843	287	837
mDDR_130	Arid4b	197	47	2	113	147	79	62
mDDR_131	Atad5	2162	1275	22	2254	1237	497	1048
mDDR_132	Atad5	1105	500	9	454	331	288	555
mDDR_133	Atad5	1436	409	24	616	710	170	524
mDDR_134	Atad5	2667	1529	36	2279	1691	614	1477
mDDR_135	Atad5	1629	689	20	1055	1068	344	733
mDDR_136	Atad5	3052	1746	38	1494	1526	590	964
mDDR_137	Atad5	942	289	16	688	487	376	329
mDDR_138	Atad5	844	464	17	435	330	156	420
mDDR_139	Atad5	1039	630	16	1076	1026	251	398
mDDR_140	Atad5	2058	882	36	2235	1701	775	1565
mDDR_141	Atf2	2022	621	18	1344	838	378	472
mDDR_142	Atf2	1319	1230	20	1527	1123	429	768
mDDR_143	Atf2	2438	1228	34	1946	1719	873	1370
mDDR_144	Atf2	2960	1521	58	2187	2221	764	1243
mDDR_145	Atf2	3519	1852	48	3240	2222	948	1255
mDDR_146	Atf2	1140	866	23	1142	969	311	748
mDDR_147	Atf2	1347	476	10	490	526	277	551
mDDR_148	Atf2	2290	1933	50	3258	2113	760	1714
mDDR_149	Atf2	2421	1173	35	2016	2147	818	1935
mDDR_150	Atf2	1509	841	27	1551	1536	413	761
mDDR_151	Atm	1375	464	8	467	683	168	362
mDDR_152	Atm	1102	416	21	730	547	227	311
mDDR_153	Atm	2530	615	28	1188	1024	316	595
mDDR_154	Atm	3725	1526	58	1919	2163	604	1295
mDDR_155	Atm	1345	342	21	367	1201	201	458
mDDR_156	Atm	2518	775	29	1559	1714	434	1047
mDDR_157	Atm	975	375	8	1135	587	184	513
mDDR_158	Atm	1442	510	27	527	1118	283	470
mDDR_159	Atm	3364	1352	38	1602	1852	696	690
mDDR_160	Atm	2410	685	30	883	1320	335	396
mDDR_161	Atr	4044	1574	81	2973	2425	1125	1875
mDDR_162	Atr	1958	1130	33	2066	1601	524	1281
mDDR_163	Atr	1316	303	14	1012	896	371	960
mDDR_164	Atr	180	30	2	48	173	72	164
mDDR_165	Atr	1462	924	30	1795	940	577	974
mDDR_166	Atr	2725	145	15	510	1155	251	495
mDDR_167	Atr	1157	231	9	513	675	131	314
mDDR_168	Atr	2373	713	34	1080	1258	434	891
mDDR_169	Atr	849	48	9	65	198	23	214
mDDR_170	Atr	880	31	15	44	323	105	169
mDDR_171	Atrip	3637	1656	62	2610	2752	1120	1825
mDDR_172	Atrip	862	324	19	1069	1057	300	709
mDDR_173	Atrip	1708	854	17	1487	1198	457	1061
mDDR_174	Atrip	2020	534	14	1161	1192	395	663
mDDR_175	Atrip	1146	126	14	744	567	166	415
mDDR_176	Atrip	2882	818	41	951	1673	328	1036
mDDR_177	Atrip	1537	416	14	1712	958	173	291
mDDR_178	Atrip	1994	1055	28	1877	1487	476	821
mDDR_179	Atrip	3094	290	8	379	946	287	588
mDDR_180	Atrip	3545	1163	37	1953	1862	561	965
mDDR_181	Atrx	1507	809	18	817	1276	384	866
mDDR_182	Atrx	3224	1130	34	2114	1504	347	1139
mDDR_183	Atrx	707	440	12	661	758	159	573
mDDR_184	Atrx	761	338	8	595	527	231	419
mDDR_185	Atrx	2993	417	23	877	1113	413	920
mDDR_186	Atrx	2306	1742	48	2216	1386	734	1484
mDDR_187	Atrx	709	130	15	791	334	273	344
mDDR_188	Atrx	2641	1516	52	3624	2621	802	1171
mDDR_189	Atrx	2857	1323	56	3632	2120	893	1162
mDDR_190	Atrx	1899	1180	43	2457	1214	641	1241
mDDR_191	Aurka	1888	834	40	2497	1831	670	1116
mDDR_192	Aurka	3122	966	24	1535	1742	557	989
mDDR_193	Aurka	2663	309	24	892	1102	366	440
mDDR_194	Aurka	1577	134	3	466	501	146	92
mDDR_195	Aurka	1161	370	11	244	562	97	222
mDDR_196	Aurka	2403	782	23	1581	1587	569	1044
mDDR_197	Aurka	1307	193	12	135	664	173	326
mDDR_198	Aurka	2528	570	28	1123	1505	358	1284
mDDR_199	Aurka	5114	1711	45	1235	2801	892	1821
mDDR_200	Aurka	1543	271	13	646	464	150	281
mDDR_201	Bard1	810	157	8	267	530	225	413
mDDR_202	Bard1	2463	1002	17	1201	1152	600	1076
mDDR_203	Bard1	1435	634	26	952	1454	494	858
