guide	gene	MCF10Awt	MCF10Ako	MCF10Awt_treated	MCF10Ako_treated	L1	L2
A1BG_0	A1BG	1	623	2	255	1189	946
A1BG_1	A1BG	0	0	0	0	3	0
A1BG_2	A1BG	947	2	0	678	1110	716
A1BG_3	A1BG	1050	1083	755	1	1405	1191
A2M_4	A2M	477	864	0	437	975	825
A2M_5	A2M	5	834	0	2	644	532
A2M_6	A2M	906	2910	1674	6	1652	1312
A2M_7	A2M	1829	491	2	1	833	715
NAT1_8	NAT1	5	1134	0	338	742	673
NAT1_9	NAT1	5	858	1131	631	427	275
NAT1_10	NAT1	1	346	584	2	721	677
NAT1_11	NAT1	1	511	0	578	541	430
NAT2_12	NAT2	773	2	0	328	718	646
NAT2_13	NAT2	1	343	0	306	925	471
NAT2_14	NAT2	969	1608	0	427	879	812
NAT2_15	NAT2	0	682	0	941	651	547
SERPINA3_16	SERPINA3	1127	338	0	274	601	459
SERPINA3_17	SERPINA3	705	2	0	679	786	541
SERPINA3_18	SERPINA3	646	211	29	2072	1088	724
SERPINA3_19	SERPINA3	1444	20	0	1	399	430
AADAC_20	AADAC	1	850	0	0	678	643
AADAC_21	AADAC	1576	263	0	764	1262	1100
AADAC_22	AADAC	2	7	973	1	1056	1351
AADAC_23	AADAC	2	492	0	930	1252	904
AAMP_24	AAMP	318	381	0	1	699	770
AAMP_25	AAMP	402	631	0	5	700	393
AAMP_26	AAMP	1	2	0	742	1298	889
AAMP_27	AAMP	1795	1	0	3	1433	1013
AANAT_28	AANAT	9	1596	828	4	1724	1298
AANAT_29	AANAT	1149	137	0	0	1061	878
AANAT_30	AANAT	2099	998	0	552	1437	1217
AANAT_31	AANAT	2	106	2	288	1113	897
AARS_32	AARS	961	618	2	537	1498	1272
AARS_33	AARS	1199	74	0	350	1638	957
AARS_34	AARS	365	278	0	8	1600	1213
AARS_35	AARS	267	157	0	689	1420	899
ABAT_36	ABAT	121	1	534	316	412	293
ABAT_37	ABAT	1	429	516	307	674	609
ABAT_38	ABAT	833	2	0	303	352	180
ABAT_39	ABAT	485	131	0	352	395	273
ABCA1_40	ABCA1	1	0	0	973	640	574
ABCA1_41	ABCA1	524	406	0	0	253	259
ABCA1_42	ABCA1	2	338	0	2	512	442
ABCA1_43	ABCA1	239	984	714	1	811	782
ABCA2_44	ABCA2	161	1	0	1236	289	226
ABCA2_45	ABCA2	423	695	0	1	369	343
ABCA2_46	ABCA2	0	0	0	289	145	116
ABCA2_47	ABCA2	2	1	1004	0	967	619
ABCA3_48	ABCA3	0	143	0	0	506	308
ABCA3_49	ABCA3	261	496	1017	166	1237	984
ABCA3_50	ABCA3	1011	1079	0	0	974	677
ABCA3_51	ABCA3	1441	758	3	329	1670	1167
ABCB7_52	ABCB7	2	269	0	0	473	378
ABCB7_53	ABCB7	844	446	0	552	758	817
ABCB7_54	ABCB7	482	399	0	1161	1164	898
ABCB7_55	ABCB7	1051	238	0	0	529	492
ABCF1_56	ABCF1	1	195	0	1	739	600
ABCF1_57	ABCF1	528	1	750	665	755	565
ABCF1_58	ABCF1	1	200	0	284	956	720
ABCF1_59	ABCF1	492	429	0	273	1134	1011
ABCA4_60	ABCA4	0	0	0	0	326	287
ABCA4_61	ABCA4	895	406	0	0	550	629
ABCA4_62	ABCA4	0	1	0	0	369	307
ABCA4_63	ABCA4	641	0	0	1	457	388
ABL1_64	ABL1	1505	229	160	3	1565	1375
ABL1_65	ABL1	1250	1116	319	489	935	664
ABL1_66	ABL1	337	2	0	598	986	751
ABL1_67	ABL1	1651	1223	641	4	1022	937
AOC1_68	AOC1	0	0	724	1	365	255
AOC1_69	AOC1	2	507	656	654	667	462
AOC1_70	AOC1	0	0	0	0	350	191
AOC1_71	AOC1	1	0	0	1	344	299
ABL2_72	ABL2	0	378	0	222	490	331
ABL2_73	ABL2	527	1	0	317	610	481
ABL2_74	ABL2	310	7	2	1279	678	511
ABL2_75	ABL2	4	1241	0	305	747	681
ABO_76	ABO	373	9	0	551	971	682
ABO_77	ABO	1	301	0	153	309	229
ABO_78	ABO	2	656	1344	99	1020	619
ABO_79	ABO	1339	682	0	0	713	445
ABR_80	ABR	2	395	0	0	634	420
ABR_81	ABR	429	1	0	3	438	288
ABR_82	ABR	345	375	0	3	434	335
ABR_83	ABR	359	166	0	1	726	566
ACAA1_84	ACAA1	670	673	0	142	1151	812
ACAA1_85	ACAA1	406	135	2	1230	590	501
ACAA1_86	ACAA1	1890	406	0	3	760	471
ACAA1_87	ACAA1	570	206	0	638	379	300
ACACA_88	ACACA	1748	943	0	615	829	488
ACACA_89	ACACA	6	72	0	366	1101	812
ACACA_90	ACACA	855	308	0	1	771	608
ACACA_91	ACACA	2180	271	0	46	1555	1216
