guide	gene	T0_WT	T21A_WT	T21B_WT	T21C_WT	T0_HMCES	T24A_HMCES	T24B_HMCES	T24C_HMCES
MKOv4_1821	IDH1	1873	2286	2187	1656	1916	1784	2448	2361
MKOv4_4037	TOP2A	1410	1801	1758	1254	1332	405	894	850
MKOv4_0122	ALDH2	1656	1115	1348	1359	1778	1616	2108	1686
MKOv4_1745	HERC2	2691	2538	2101	1922	2551	2799	2438	2450
MKOv4_1508	FBXW7	1151	1479	1351	1535	1402	2490	2398	2081
MKOv4_1580	GADD45G	1272	1032	1300	1293	1427	1275	938	1675
MKOv4_0989	DGAT2L6	1531	2118	1658	1995	1520	793	1541	1431
MKOv4_3826	SMC5	958	919	750	806	1131	837	1003	735
MKOv4_4035	TOP2A	2099	1252	1166	1182	2080	53	115	24
MKOv4_1497	FANCM	1537	633	858	441	1525	76	125	355
MKOv4_2940	POLR3C	1426	564	567	749	1296	293	291	218
MKOv4_0788	CHEK2	509	334	519	369	517	542	456	335
MKOv4_2495	ORAOV1	1700	611	661	633	1604	22	19	50
MKOv4_0293	APOBEC1	1506	804	687	743	1583	525	964	764
MKOv4_4288	UIMC1	1758	1330	2115	2073	1950	2100	1691	2254
MKOv4_3878	SPO11	656	838	650	1065	778	1630	1258	853
MKOv4_1527	FGF4	2685	3046	3116	2877	2568	1267	1121	794
MKOv4_1327	EZH2	721	607	643	893	620	610	419	882
MKOv4_0429	BACH1	1583	1418	1200	1410	1510	1986	1718	1757
MKOv4_3660	SCAI	2818	2671	2666	2240	2525	1394	1681	1046
MKOv4_3543	RPA1	1386	687	528	551	1384	3	219	0
MKOv4_3235	RAX	3452	2399	2555	2379	3364	2905	2595	2184
MKOv4_4211	T	3779	4400	4364	4880	3999	6204	5702	6061
MKOv4_2181	MSH2	1127	1121	869	988	1093	1372	827	989
MKOv4_2357	NOL6	899	609	489	565	841	72	109	79
MKOv4_0914	DCLRE1B	1412	769	791	919	1343	342	247	208
MKOv4_2871	POLL	2620	3057	2962	2992	2741	2313	2456	1979
MKOv4_3601	RRM1	2431	761	574	521	2011	217	50	97
MKOv4_2964	PPP4C	1864	540	428	505	1685	157	1	4
MKOv4_0620	CDC16	1105	1693	1351	1208	1077	341	474	601
MKOv4_3745	SHPRH	2266	2190	2135	1704	2405	2555	2220	2774
MKOv4_2771	POLD2	1452	813	613	627	1443	105	23	37
MKOv4_1472	FANCG	2139	2579	2837	1853	1984	822	407	1250
MKOv4_1004	DHX8	1453	951	800	936	1454	88	315	63
MKOv4_1839	INIP	1640	1798	1630	1795	1431	2261	2466	1937
MKOv4_2788	POLD4	2002	1751	1782	1823	1893	1553	1559	1257
MKOv4_1359	FAAP20	2444	1875	1712	1866	2562	1642	1545	1524
MKOv4_2833	POLG	1958	1897	1581	1552	1830	237	330	470
MKOv4_2548	PARP3	1113	632	632	599	885	465	589	424
MKOv4_3350	RFC1	1447	1308	1576	1330	1438	1587	1922	1810
MKOv4_0286	APLF	2145	2186	1959	2008	1970	1278	2193	1712
MKOv4_3847	SOX4	1791	1936	1609	2277	1784	2268	2797	3362
MKOv4_4025	TOP1	1117	964	879	1026	1177	142	173	479
MKOv4_0544	C1orf112	1331	1304	1372	1202	1154	675	736	841
MKOv4_1454	FANCE	1389	1954	1808	1796	1452	858	947	954
MKOv4_3422	RMI1	1473	1217	1426	1043	1164	265	181	57
MKOv4_2544	PARP3	1821	1999	1761	1728	1770	1569	1386	1266
MKOv4_1044	DNTT	2173	1968	1610	1838	1927	1227	1407	982
MKOv4_2935	POLR2E	1616	259	330	106	1567	49	46	31
MKOv4_1685	GTF2H3	1894	2137	1900	1954	1886	2387	2300	2257
MKOv4_3449	RNASEH2B	1475	2062	2153	1993	1521	1545	1628	1675
MKOv4_0539	BUD31	1682	1164	997	1060	1786	232	298	143
MKOv4_1347	FAAP100	2205	1846	2332	2018	2116	483	806	705
MKOv4_4022	TOP1	3581	4415	3434	3790	3585	2321	1814	2705
MKOv4_0932	DDB1	2175	2540	2311	2534	2183	1552	1174	2084
MKOv4_3103	RAD1	1341	1303	1557	991	1378	129	99	180
MKOv4_3035	PRSS37	1321	1547	1709	1532	1369	1365	2170	1235
MKOv4_4286	UIMC1	2635	2433	2189	1991	2643	1647	1272	1882
MKOv4_2178	MSH2	931	884	874	841	861	558	522	1106
MKOv4_2911	POLR1C	2048	704	679	684	2010	384	321	142
MKOv4_2103	MMS19	1384	1126	1404	1188	1476	1000	1437	586
MKOv4_0583	CCNH	967	715	625	445	922	315	426	331
MKOv4_4094	TP53	2036	3696	2926	2591	2132	7239	9572	9854
MKOv4_0455	BHLHE40	2589	2813	3303	2370	2764	2467	3168	2843
MKOv4_2310	NEIL2	3801	4848	3907	3764	3415	3706	3845	4093
MKOv4_1898	KITLG	2842	2979	2833	3155	2568	4225	3926	3998
MKOv4_4366	WDR48	1439	1417	852	967	1386	484	898	281
MKOv4_1433	FANCC	2177	995	1094	1074	2282	416	395	222
MKOv4_2399	NSMCE3	1831	727	576	719	1703	65	85	7
MKOv4_4396	WRN	2376	2582	2224	2226	2280	2562	1921	1840
MKOv4_0794	CHTF18	1741	1575	1609	1164	1855	614	573	306
MKOv4_4496	YWHAE	1174	645	479	632	1070	467	511	439
MKOv4_2426	NUDT15	1650	1591	1322	1901	1610	2175	1759	1698
MKOv4_1879	KCNK10	2086	2651	2712	2968	2015	2287	2640	1843
MKOv4_2628	PHB2	1809	841	847	667	1910	18	43	17
