guide	gene	SUM149PT_T0	SUM149PT_T7_UT	SUM149PT_T7_OLA	CAPAN1_T0	CAPAN1_T7_UT	CAPAN1_T7_OLA
ACAT1_e7_151.0	ACAT1	260	380	125	409	455	655
ACAT1_e7_151.4	ACAT1	44	59	37	25	104	235
ACAT1_e7_151.6	ACAT1	289	926	290	355	393	561
ACAT1_e8_96.0	ACAT1	454	881	429	485	562	1074
ACAT1_e8_96.1	ACAT1	536	615	322	601	476	1034
ACTR_e18_255.23	ACTR	87	69	58	105	171	0
ACTR_e18_255.26	ACTR	410	322	289	314	270	323
ACTR_e19_105.4	ACTR	136	105	62	121	107	326
ACTR_e20_258.1	ACTR	743	403	408	759	721	1076
ACTR_e20_258.22	ACTR	232	249	302	134	186	356
ASH1L_BD_e18_55.0	ASH1L	270	361	176	271	273	638
ASH1L_BD_e18_55.1	ASH1L	263	443	276	293	319	369
ASH1L_BD_e19_133.3	ASH1L	201	109	176	183	88	363
ASH1L_BD_e19_133.7	ASH1L	540	737	781	695	646	1191
ASH1L_BD_e20_79.1	ASH1L	315	218	223	522	286	384
ASH1L_BD_e20_79.2	ASH1L	128	96	0	103	199	438
ASH1L_e11_118.0	ASH1L	326	392	495	419	527	608
ASH1L_e11_118.11	ASH1L	229	151	181	469	274	705
ASH1L_e12_147.13	ASH1L	1106	1213	776	1048	1300	1643
ASH1L_e12_147.5	ASH1L	202	236	40	283	265	452
ASH1L_e13_109.0	ASH1L	98	4	0	125	69	67
ASH1L_e13_109.1	ASH1L	87	9	0	51	15	33
ATAD2_BD_e21_95.1	ATAD2	516	568	53	552	453	479
ATAD2_BD_e21_95.2	ATAD2	286	397	123	293	380	262
ATAD2_BD_e22_197.4	ATAD2	151	231	264	165	101	328
ATAD2_BD_e22_197.8	ATAD2	238	68	428	285	209	361
ATAD2_BD_e23_86.1	ATAD2	393	433	731	589	550	760
ATAD2_BD_e23_86.2	ATAD2	108	77	189	163	73	323
ATAD2B_BD_e21_95.5	ATAD2B	681	1109	517	657	835	682
ATAD2B_BD_e21_95.6	ATAD2B	336	208	398	342	192	720
ATAD2B_BD_e22_160.4	ATAD2B	503	834	353	613	455	1213
ATAD2B_BD_e22_160.8	ATAD2B	500	821	1041	624	416	900
ATAD2B_BD_e23_86.1	ATAD2B	316	449	416	316	475	894
ATAD2B_BD_e23_86.2	ATAD2B	429	977	199	538	303	961
ATAT1_e4_50.0	ATAT1	265	508	228	438	322	1140
ATAT1_e5_114.0	ATAT1	478	551	401	675	437	1541
ATAT1_e5_114.2	ATAT1	354	168	102	344	331	253
ATAT1_e5_114.5	ATAT1	341	356	248	298	366	597
ATAT1_e6_102.0	ATAT1	448	285	245	657	556	664
ATAT1_e6_102.1	ATAT1	565	335	316	555	399	579
ATAT1_e6_102.6	ATAT1	497	758	515	707	463	1037
ATF2_e11_150.10	ATF2	679	496	349	896	563	1370
ATF2_e11_150.4	ATF2	276	278	226	299	295	802
ATF2_e11_150.5	ATF2	227	292	510	334	242	306
ATF2_e11_150.7	ATF2	351	349	201	456	471	1054
ATF2_e11_150.9	ATF2	696	235	326	523	644	870
ATRX_D_e18_147.2	ATRX	181	219	218	263	258	287
ATRX_D_e19_178.0	ATRX	304	114	330	391	154	759
ATRX_D_e19_178.6	ATRX	185	282	113	239	275	415
ATRX_D_e20_138.2	ATRX	385	249	217	485	275	575
ATRX_H_e26_107.0	ATRX	361	161	224	513	229	548
ATRX_H_e27_109.0	ATRX	404	568	515	507	481	792
ATRX_H_e28_178.3	ATRX	292	278	740	276	257	540
BAZ1A_BD_e25_118.0	BAZ1A	496	1338	482	513	677	710
BAZ1A_BD_e25_118.1	BAZ1A	341	283	324	366	274	447
BAZ1A_BD_e25_118.4	BAZ1A	519	965	293	672	530	1211
BAZ1A_BD_e26_88.1	BAZ1A	285	243	328	344	422	1062
BAZ1A_BD_e26_88.4	BAZ1A	377	254	586	281	483	682
BAZ1A_BD_e27_135.3	BAZ1A	160	510	17	146	131	242
BAZ1A_BD_e27_135.4	BAZ1A	284	687	194	227	178	644
BAZ1A_BD_e27_135.5	BAZ1A	338	483	268	285	374	426
BAZ1B_BD_e18_67.0	BAZ1B	229	12	22	149	81	174
BAZ1B_BD_e18_67.4	BAZ1B	249	215	151	400	93	283
BAZ1B_BD_e18_67.5	BAZ1B	537	338	396	679	299	593
BAZ1B_BD_e19_237.1	BAZ1B	449	356	151	488	220	326
BAZ1B_BD_e19_237.13	BAZ1B	108	71	95	160	22	155
BAZ1B_BD_e19_237.6	BAZ1B	27	21	47	56	56	11
BAZ2A_BD_e28_144.16	BAZ2A	223	91	74	290	146	322
BAZ2A_BD_e28_144.17	BAZ2A	590	701	501	652	926	1890
BAZ2A_BD_e28_144.19	BAZ2A	58	317	53	23	32	85
BAZ2A_BD_e29_135.7	BAZ2A	298	230	158	304	347	432
BAZ2A_BD_e29_135.8	BAZ2A	463	489	600	498	542	657
BAZ2A_BD_e29_135.9	BAZ2A	311	307	551	328	381	532
BAZ2B_BD_e36_144.1	BAZ2B	285	630	613	289	645	372
BAZ2B_BD_e36_144.2	BAZ2B	277	160	412	226	204	497
BAZ2B_BD_e36_144.8	BAZ2B	206	199	418	284	503	830
BAZ2B_BD_e37_139.0	BAZ2B	201	371	397	317	360	517
BAZ2B_BD_e37_139.2	BAZ2B	27	10	0	98	139	35
BAZ2B_BD_e37_139.3	BAZ2B	319	99	1007	392	320	465
BPTF_BD_e23_85.10	BPTF	1400	817	403	1146	258	518
BPTF_BD_e23_85.11	BPTF	664	262	54	502	73	107
BPTF_BD_e24_187.1	BPTF	541	502	281	558	354	605
BPTF_BD_e24_187.3	BPTF	609	697	500	743	105	479
BPTF_BD_e24_187.7	BPTF	300	630	62	250	46	232
BRD1_BD_e5_95.10	BRD1	259	79	66	278	441	530
BRD1_BD_e5_95.7	BRD1	271	580	235	480	246	641
BRD1_BD_e5_95.9	BRD1	587	352	189	622	919	1431
BRD1_BD_e6_237.10	BRD1	82	17	20	86	32	340
BRD1_BD_e6_237.11	BRD1	66	18	0	51	21	990
BRD1_BD_e6_237.9	BRD1	314	219	342	265	162	1168
BRD2_BD1_e2_109.12	BRD2	301	41	0	430	189	331
BRD2_BD1_e2_109.3	BRD2	699	3	21	585	556	703
BRD2_BD1_e2_109.4	BRD2	263	83	37	433	305	147
BRD2_BD1_e3_138.2	BRD2	315	187	13	451	253	805
BRD2_BD1_e3_138.3	BRD2	634	49	48	819	345	633
BRD2_BD1_e3_138.8	BRD2	561	223	78	652	258	417
BRD2_BD1_e4_60.1	BRD2	374	100	0	324	115	153
BRD2_BD1_e4_60.3	BRD2	143	0	32	137	99	88
BRD2_BD2_e6_145.6	BRD2	483	21	34	521	215	391
BRD2_BD2_e6_145.7	BRD2	259	99	4	341	219	298
BRD2_BD2_e7_129.0	BRD2	173	0	35	300	142	193
BRD2_BD2_e7_129.6	BRD2	206	27	81	295	309	780
BRD2_BD2_e7_129.7	BRD2	266	38	104	379	391	260
BRD3_BD1_e2_112.5	BRD3	799	1412	664	919	1001	1980
BRD3_BD1_e2_112.6	BRD3	528	950	141	451	427	1010
BRD3_BD1_e2_112.7	BRD3	240	469	89	420	201	1174
BRD3_BD1_e3_138.5	BRD3	243	68	149	363	291	639
BRD3_BD1_e3_138.7	BRD3	1059	909	805	1316	1842	3746
BRD3_BD1_e3_138.8	BRD3	1180	1794	855	1212	1924	1998
BRD3_BD1_e4_66.0	BRD3	351	92	333	315	572	892
BRD3_BD1_e4_66.4	BRD3	427	543	801	516	580	1002
BRD3_BD1_e4_66.5	BRD3	169	684	135	266	181	244
BRD3_BD2_e6_145.5	BRD3	948	738	234	740	1056	1904
BRD3_BD2_e7_129.0	BRD3	364	925	417	602	518	709
BRD3_BD2_e7_129.3	BRD3	441	595	838	674	581	2137
BRD3_BD2_e7_129.8	BRD3	245	255	351	296	315	639
BRD4_BD1_e2_121.1	BRD4	361	0	0	418	70	41
BRD4_BD1_e2_121.4	BRD4	614	24	13	708	129	187
BRD4_BD1_e2_121.9	BRD4	283	0	21	324	80	604
BRD4_BD1_e3_138.0	BRD4	442	0	0	361	59	40
BRD4_BD1_e3_138.2	BRD4	221	0	0	327	42	72
BRD4_BD1_e3_138.3	BRD4	59	0	0	116	50	9
BRD4_BD1_e4_68.0	BRD4	179	10	0	164	0	4
BRD4_BD1_e4_68.1	BRD4	37	0	0	17	1	0
BRD4_BD1_e4_68.2	BRD4	198	0	0	312	18	43
BRD4_BD2_e6_148.11	BRD4	251	42	22	360	157	117
BRD4_BD2_e7_130.0	BRD4	129	29	34	109	13	35
BRD4_BD2_e7_130.13	BRD4	455	13	24	416	359	650
BRD4_BD2_e7_130.14	BRD4	307	13	15	461	101	320
BRD8_BD_e17_77.2	BRD8	294	66	93	253	72	115
BRD8_BD_e18_69.0	BRD8	183	20	0	146	49	169
BRD8_BD_e18_69.2	BRD8	483	14	162	574	230	373
BRD8_BD_e18_69.3	BRD8	264	0	38	417	169	395
BRD8_BD_e19_178.3	BRD8	191	45	48	287	116	167
BRD8_BD_e19_178.4	BRD8	722	60	174	626	477	380
BRD9_BD_e5_145.1	BRD9	158	123	36	171	188	306
BRD9_BD_e5_145.7	BRD9	626	159	118	624	180	567
BRD9_BD_e5_145.9	BRD9	280	86	126	315	89	99
BRD9_BD_e6_111.2	BRD9	146	202	130	193	70	105
BRD9_BD_e6_111.4	BRD9	372	855	264	420	312	579
BRD9_BD_e6_111.5	BRD9	167	30	82	188	237	577
BRDT_BD1_e2_121.3	BRDT	586	1079	399	744	520	1233
BRDT_BD1_e2_121.5	BRDT	361	365	505	439	394	524
BRDT_BD1_e2_121.6	BRDT	568	1524	229	423	359	733
BRDT_BD1_e3_138.1	BRDT	66	7	185	64	136	96
BRDT_BD1_e3_138.2	BRDT	238	634	298	169	130	120
BRDT_BD1_e4_68.0	BRDT	365	165	153	487	264	572
BRDT_BD1_e4_68.1	BRDT	501	688	499	599	373	1293
BRDT_BD2_e6_150.1	BRDT	145	186	37	119	198	290
BRDT_BD2_e6_150.6	BRDT	303	344	561	312	247	478
BRDT_BD2_e6_150.7	BRDT	122	496	443	274	134	198
BRDT_BD2_e7_129.2	BRDT	347	304	404	274	240	386
BRDT_BD2_e7_129.3	BRDT	195	100	125	415	364	678
BRDT_BD2_e7_129.4	BRDT	400	79	219	412	389	976
BRPF1_BD_e6_118.11	BRPF1	407	210	14	502	253	494
BRPF1_BD_e6_118.12	BRPF1	590	236	130	641	363	900
BRPF1_BD_e6_118.5	BRPF1	582	346	661	580	344	392
BRPF1_BD_e7_237.10	BRPF1	346	203	70	427	373	428
BRPF1_BD_e7_237.5	BRPF1	244	276	159	403	354	263
BRPF1_BD_e7_237.9	BRPF1	193	174	48	246	62	343
BRPF3_BD_e5_95.0	BRPF3	321	299	334	575	385	466
BRPF3_BD_e5_95.3	BRPF3	113	425	123	251	231	277
BRPF3_BD_e6_190.23	BRPF3	241	424	239	305	259	768
BRPF3_BD_e6_190.25	BRPF3	125	118	0	148	74	397
BRPF3_BD_e6_190.4	BRPF3	554	538	803	628	281	844
BRWD1_BD1_e30_74.0	BRWD1	455	644	600	566	271	768
BRWD1_BD1_e31_121.0	BRWD1	561	413	428	574	670	1047
BRWD1_BD1_e31_121.1	BRWD1	116	229	61	104	78	202
BRWD1_BD1_e31_121.3	BRWD1	187	218	259	292	222	387
BRWD1_BD1_e32_126.0	BRWD1	506	1034	531	540	476	845
BRWD1_BD1_e32_126.1	BRWD1	330	280	33	369	176	622
BRWD1_BD1_e32_126.2	BRWD1	249	424	284	290	228	374
BRWD1_BD2_e35_98.1	BRWD1	325	320	205	468	294	939
BRWD1_BD2_e35_98.2	BRWD1	728	794	674	1000	885	1602
BRWD1_BD2_e35_98.3	BRWD1	326	391	348	522	778	1115
BRWD1_BD2_e36_153.0	BRWD1	480	1186	842	766	308	1467
