guide	gene	NT_D3	NT_D21	Olaparib40nM_D21	Olaparib2uM_D21
sg_mRnf168_01	Rnf168	1002	2377	1925	947
sg_mFaap20_05	Faap20	1466	2922	2439	161
sg_Non_Targeting_Mouse_BB_0012	Non_Targeting_Mouse	1413	3077	2697	1330
sg_mTrex2_01	Trex2	1204	2728	1921	34
sg_mPoli_04	Poli	1430	2968	2723	180
sg_mRnf4_07	Rnf4	1065	276	302	38
sg_mFanci_03	Fanci	1294	1676	943	69
sg_mGtf2h3_03	Gtf2h3	1431	243	299	19
sg_Non_Targeting_Mouse_BB_0057	Non_Targeting_Mouse	1020	2505	2108	391
sg_mErcc4_06	Ercc4	1247	1430	1071	25
sg_mTopbp1_06	Topbp1	1096	447	267	40
sg_mRrm2b_01	Rrm2b	1068	2152	1812	29
sg_mTrex1_02	Trex1	1287	2172	1690	8636
sg_mMlh3_01	Mlh3	1182	2633	1892	105
sg_mMbd4_03	Mbd4	1137	2178	1881	114
sg_mSprtn_04	Sprtn	1210	851	669	64
sg_mSlx4_05	Slx4	1234	1674	1258	111
sg_mParp3_07	Parp3	1274	2738	1928	39
sg_mPolg_01	Polg	1209	543	668	38
sg_mEme1_01	Eme1	1194	1402	661	5532
sg_mTopbp1_07	Topbp1	1185	412	402	24
sg_mRad17_05	Rad17	1164	274	157	293
sg_mMpg_02	Mpg	1032	2377	2043	25
sg_mErcc5_01	Ercc5	972	1658	1510	2206
sg_mMsh3_03	Msh3	1282	2947	2524	2486
sg_mCopb1_06	Copb1	1128	375	256	93
sg_Non_Targeting_Mouse_BB_0037	Non_Targeting_Mouse	1235	3121	2412	10678
sg_mCetn2_07	Cetn2	1160	2049	1321	816
sg_Non_Targeting_Mouse_BB_0119	Non_Targeting_Mouse	1086	2708	2168	33
sg_mErcc4_04	Ercc4	1073	1177	679	5
sg_mDclre1a_01	Dclre1a	1541	3214	2270	11
sg_mRecql4_01	Recql4	1317	1468	1321	133
sg_Non_Targeting_Mouse_BB_0075	Non_Targeting_Mouse	1337	3044	2502	434
sg_Non_Targeting_Mouse_BB_0145	Non_Targeting_Mouse	1105	2742	2288	76
sg_mDclre1c_04	Dclre1c	1199	2520	2321	18072
sg_mRad1_05	Rad1	1065	239	193	2
sg_mPcna_02	Pcna	1163	377	201	31
sg_mFanca_06	Fanca	1123	850	328	36
sg_mPnkp_01	Pnkp	1174	307	210	16
sg_mPrkdc_06	Prkdc	1136	1065	1022	156
sg_mRad18_02	Rad18	1361	1536	792	12
sg_mChaf1a_01	Chaf1a	1087	5123	6416	13
