guide	gene	DMSO_D12	DMSO_D6	D0_D0	Resveratrol_D12
chr19:58864777-58864796_A1BG_+	A1BG	2271	2430	1303	4181
chr19:58864319-58864338_A1BG_+	A1BG	636	1563	1282	1141
chr19:58863885-58863904_A1BG_+	A1BG	44	162	232	229
chr19:58862759-58862778_A1BG_-	A1BG	770	673	293	832
chr10:52619622-52619641_A1CF_+	A1CF	625	384	329	63
chr10:52603830-52603849_A1CF_+	A1CF	361	616	659	549
chr10:52595871-52595890_A1CF_+	A1CF	758	954	716	302
chr10:52575966-52575985_A1CF_-	A1CF	1737	1549	1031	2096
chr12:8975265-8975284_A2ML1_-	A2ML1	653	1442	784	754
chr12:8975819-8975838_A2ML1_-	A2ML1	2431	3085	1245	1039
chr12:8976403-8976422_A2ML1_+	A2ML1	1053	1644	1016	456
chr12:8982344-8982363_A2ML1_-	A2ML1	1328	1194	1265	1187
chr12:9268406-9268425_A2M_+	A2M	682	692	605	1098
chr12:9265941-9265960_A2M_+	A2M	884	955	873	341
chr12:9265042-9265061_A2M_-	A2M	1283	2074	1715	4213
chr12:9264748-9264767_A2M_+	A2M	685	445	433	609
chr1:33778470-33778489_A3GALT2_-	A3GALT2	153	328	660	782
chr1:33778135-33778154_A3GALT2_+	A3GALT2	867	1183	1015	1692
chr1:33777680-33777699_A3GALT2_-	A3GALT2	1238	1915	2084	4227
chr1:33772570-33772589_A3GALT2_-	A3GALT2	737	1050	491	1390
chr22:43089501-43089520_A4GALT_+	A4GALT	1000	1550	1244	1482
chr22:43089528-43089547_A4GALT_-	A4GALT	1137	975	1106	1581
chr22:43089583-43089602_A4GALT_-	A4GALT	803	535	861	2111
chr22:43089602-43089621_A4GALT_-	A4GALT	2521	1279	1319	1810
chr3:137849936-137849955_A4GNT_+	A4GNT	3174	1807	1340	2674
chr3:137850092-137850111_A4GNT_-	A4GNT	689	1198	1199	3844
chr3:137843207-137843226_A4GNT_-	A4GNT	1133	1582	2159	6044
chr3:137843402-137843421_A4GNT_-	A4GNT	1440	1142	622	617
chr12:53715177-53715196_AAAS_-	AAAS	376	420	314	13
chr12:53714392-53714411_AAAS_+	AAAS	1321	1112	1018	914
chr12:53709182-53709201_AAAS_-	AAAS	750	337	344	552
chr12:53708578-53708597_AAAS_-	AAAS	788	728	718	39
chr12:125550211-125550230_AACS_+	AACS	54	286	265	196
chr12:125558444-125558463_AACS_-	AACS	2017	1418	992	169
chr12:125587293-125587312_AACS_+	AACS	2283	1234	617	960
chr12:125587591-125587610_AACS_-	AACS	480	1007	572	431
chr3:151458585-151458604_AADACL2_+	AADACL2	345	445	494	557
chr3:151474816-151474835_AADACL2_+	AADACL2	987	1377	870	1107
chr3:151474923-151474942_AADACL2_+	AADACL2	2002	1643	1137	1063
chr3:151474941-151474960_AADACL2_+	AADACL2	2023	1638	1266	1328
chr1:12779648-12779667_AADACL3_+	AADACL3	517	507	513	704
chr1:12780895-12780914_AADACL3_-	AADACL3	594	1209	795	1228
chr1:12780933-12780952_AADACL3_-	AADACL3	569	1989	1347	1324
chr1:12785305-12785324_AADACL3_+	AADACL3	2469	1734	611	2610
chr1:12704577-12704596_AADACL4_-	AADACL4	1499	1971	1988	5701
chr1:12704578-12704597_AADACL4_-	AADACL4	1053	1002	644	265
chr1:12711307-12711326_AADACL4_-	AADACL4	868	1361	887	645
chr1:12726098-12726117_AADACL4_+	AADACL4	1037	1724	924	637
chr3:151535310-151535329_AADAC_+	AADAC	1215	1138	252	1304
chr3:151542573-151542592_AADAC_+	AADAC	378	647	471	1064
chr3:151545555-151545574_AADAC_+	AADAC	1180	1842	1219	1827
chr3:151545722-151545741_AADAC_-	AADAC	158	359	48	65
chr4:171010830-171010849_AADAT_-	AADAT	767	674	323	834
chr4:171009700-171009719_AADAT_-	AADAT	1130	1438	971	1679
chr4:170994468-170994487_AADAT_+	AADAT	2070	1906	1213	1013
chr4:170990283-170990302_AADAT_+	AADAT	2252	1950	1328	1956
chr9:99417369-99417388_AAED1_+	PRXL2C	852	1833	1320	2897
chr9:99417374-99417393_AAED1_+	PRXL2C	942	1351	476	1070
chr9:99413655-99413674_AAED1_+	PRXL2C	332	733	732	717
chr9:99413674-99413693_AAED1_-	PRXL2C	409	785	512	664
chr15:67546931-67546950_AAGAB_+	AAGAB	299	620	694	359
chr15:67528326-67528345_AAGAB_-	AAGAB	506	1277	993	1666
chr15:67501828-67501847_AAGAB_-	AAGAB	844	901	416	1373
chr15:67496441-67496460_AAGAB_-	AAGAB	227	729	824	485
